都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,種別,住所,方書,lat,lng,title,状況
262013,,京都府,福知山市,防火水槽,,,35.38432028,135.1402199,河西防火水槽6,埋設
262013,,京都府,福知山市,防火水槽,,,35.38428552,135.1433758,河西防火水槽7,埋設
262013,,京都府,福知山市,防火水槽,,,35.39384775,135.1279184,河西防火水槽9,埋設
262013,,京都府,福知山市,防火水槽,,,35.389611,135.111495,河西防火水槽16,埋設
262013,,京都府,福知山市,防火水槽,,,35.38817973,135.1102809,河西防火水槽17,埋設
262013,,京都府,福知山市,防火水槽,,,35.38653335,135.1099289,河西防火水槽18,埋設
262013,,京都府,福知山市,防火水槽,,,35.3903855,135.1155142,河西防火水槽19,埋設
262013,,京都府,福知山市,防火水槽,,,35.36564908,135.1160277,河西防火水槽20,埋設
262013,,京都府,福知山市,防火水槽,,,35.37488473,135.1319414,河西防火水槽4,無蓋
262013,,京都府,福知山市,防火水槽,,,35.37775816,135.1340807,河西防火水槽5,無蓋
262013,,京都府,福知山市,防火水槽,,,35.39122657,135.1206233,河西防火水槽10,無蓋
262013,,京都府,福知山市,防火水槽,,,35.39144072,135.1197821,河西防火水槽11,無蓋
262013,,京都府,福知山市,防火水槽,,,35.39224999,135.1188825,河西防火水槽12,無蓋
262013,,京都府,福知山市,防火水槽,,,35.39110771,135.117284,河西防火水槽13,無蓋
262013,,京都府,福知山市,防火水槽,,,35.38964788,135.1179414,河西防火水槽14,無蓋
262013,,京都府,福知山市,防火水槽,,,35.39038328,135.115223,河西防火水槽15,無蓋
262013,,京都府,福知山市,防火水槽,,,35.36453703,135.1227004,河東防火水槽1,埋設
262013,,京都府,福知山市,防火水槽,,,35.36506068,135.1232097,河東防火水槽2,埋設
262013,,京都府,福知山市,防火水槽,,,35.36563129,135.1256002,河東防火水槽3,埋設
262013,,京都府,福知山市,防火水槽,,,35.36703097,135.1302715,河東防火水槽4,埋設
262013,,京都府,福知山市,防火水槽,,,35.36368713,135.1335302,河東防火水槽5,埋設
